ingredient,Added sugars,Calcium,Carbohydrate,Cholesterol,Choline,Copper,Fiber,Folate,Iron,Magnesium,Manganese,Niacin,Pantothenic acid,Phosphorus,Potassium,Protein,Riboflavin,Saturated fat,Selenium,Sodium,Thiamin,Vitamin A,Vitamin B-12,Vitamin B-6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Zinc
marsala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,397,0,0,0,0,0,0,0
marscarpone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
marshmallow,135,0,28,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
martini,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mayonnaise,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,0,0
meat,0,1,0,19,0,0,0,0,4,0,0,0,0,0,0,36,0,0,0,10,0,0,0,0,0,0,0,0,0
meatball,0,5,12,1,0,0,6,0,12,0,0,0,0,0,4,14,0,0,0,22,0,17,0,0,0,0,0,0,0
meatloaf,0,0,1,16,0,0,0,0,5,0,0,0,0,0,0,28,0,0,0,15,0,49,0,0,1,0,0,0,0
melon,0,1,3,0,1,6,2,3,1,3,0,3,0,1,4,1,2,0,2,1,3,10,0,3,14,0,0,2,2
mezcal,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,26,0,37,0,0,33,0,0,0,0
miami,0,1,4,0,0,0,3,0,17,0,0,0,0,0,0,1,0,0,0,1,0,254,0,0,25,0,0,0,0
microwave,0,13,2,51,16,13,0,4,15,7,1,51,20,33,14,59,31,35,52,88,4,7,78,22,0,250,1,0,43
midori,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
minneapolis,0,3,26,12,0,0,13,0,11,0,0,0,0,0,3,25,0,0,0,1,0,0,0,0,0,0,0,0,0
mint,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mixer,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
molasses,0,16,27,0,2,54,0,0,26,58,0,6,0,2,31,0,0,0,32,2,3,0,0,39,0,0,0,0,3
mozzarella,0,41,1,24,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,8,0,79,0,0,0,0,0,0,0
muffin,0,0,12,0,0,0,4,0,4,0,0,0,0,0,0,6,0,0,0,7,0,0,0,0,0,0,0,0,0
mushroom,9,2,2,0,0,0,3,0,5,0,0,0,0,0,7,2,0,0,0,16,0,0,0,0,0,0,0,0,0
mussel,0,3,2,12,15,13,0,10,28,10,0,12,0,20,9,30,19,3,103,16,14,6,538,3,9,0,5,0,18
mustard,0,5,2,0,4,8,15,2,9,11,0,4,0,9,3,8,5,1,62,48,16,0,0,4,0,0,2,1,6
nectarine,0,0,3,0,1,9,5,2,2,2,0,7,0,2,3,2,2,0,0,1,3,2,0,1,3,0,4,2,2
noodle,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0
nut,0,3,13,0,0,247,15,0,33,60,85,0,0,43,14,35,0,0,38,0,0,0,0,0,0,0,0,0,46
nutmeg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,0,0,0,0,0,0,0,0,1,0,0
oat,0,12,2,0,0,3,2,0,1,2,0,0,0,2,0,1,1,1,3,2,2,0,21,0,0,8,2,1,2
oatmeal,0,26,24,0,0,0,32,0,133,0,0,0,0,0,0,0,0,0,0,0,0,618,0,0,74,0,0,0,0
octopus,0,4,5,14,10,40,2,12,27,7,0,16,0,13,6,26,8,9,68,23,14,4,540,15,3,0,21,10,13
okra,0,6,3,0,0,0,4,0,3,0,0,0,0,0,0,6,0,0,0,0,0,39,0,0,13,0,0,0,0
oktoberfest,0,0,1,22,0,0,0,0,5,0,0,0,0,0,0,28,0,0,0,21,0,0,0,0,0,0,0,0,0
olive,0,5,2,0,2,18,6,0,19,1,0,1,0,0,0,1,0,23,1,36,1,2,0,1,0,0,41,5,1
omelet,0,1,2,0,1,8,5,4,2,3,0,4,0,2,6,2,2,0,0,0,4,5,0,6,21,0,4,7,2
onion,0,1,22,0,0,0,8,0,20,0,0,29,0,0,0,22,26,0,0,19,83,9,0,0,0,0,0,0,0
orange,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,17,0,0,0,0,0,0,0,0,0
oregano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
organic,0,4,3,0,3,6,0,4,7,1,0,4,0,2,1,3,7,6,3,1,5,7,8,2,8,5,5,5,5
orzo,0,0,29,0,0,0,13,0,18,0,0,34,0,0,0,25,23,0,0,0,83,0,0,0,0,0,0,0,0
oscars,0,1,1,21,0,12,0,3,8,3,0,15,6,9,4,22,8,64,0,51,4,0,60,10,0,160,0,0,18
oyster,0,7,7,3,4,80,4,12,13,4,0,11,0,5,3,10,9,10,23,22,12,11,81,4,2,2,9,27,91
paleo,0,7,21,0,0,0,46,0,17,0,0,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0
pancake,0,1,17,0,1,14,2,38,13,4,0,15,0,5,1,8,2,0,16,0,22,0,0,5,0,0,0,0,6
papaya,0,12,24,0,0,0,36,0,0,0,0,0,0,0,0,5,0,0,0,1,0,20,0,0,7,0,0,0,0
paprika,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5556,0,0,0,0,0,0,0
parade,0,0,17,0,0,0,24,0,0,0,0,0,0,0,0,13,0,0,0,9,0,0,0,0,0,0,0,0,0
paris,0,0,1,21,0,0,0,0,11,0,0,0,0,0,5,39,0,0,0,20,0,0,0,0,0,0,0,0,0
parmesan,0,66,5,29,3,4,0,2,3,8,3,0,9,50,4,57,28,71,63,78,2,108,58,5,0,105,4,6,38
parsley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
parsnip,0,3,6,1,5,15,12,14,3,7,0,4,0,5,8,3,4,3,3,6,7,1,0,6,14,0,9,3,2
party,0,5,5,0,0,0,38,0,7,0,0,0,0,0,0,57,0,0,0,14,0,0,0,0,0,0,0,0,0
pasadena,16,3,7,2,0,0,7,0,5,0,0,0,0,0,6,8,0,0,0,18,0,0,0,0,0,0,0,0,0
passover,7,8,19,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,0,0,0,0,0
pasta,0,0,29,0,0,0,13,0,18,0,0,34,0,0,0,25,23,0,0,0,83,0,0,0,0,0,0,0,0
pastry,0,1,17,0,1,13,5,22,14,4,0,24,0,5,1,15,20,27,45,11,27,0,0,1,0,0,4,14,5
pea,0,9,23,0,11,49,14,34,21,24,0,32,0,22,16,28,24,26,13,13,51,9,0,32,0,0,15,42,30
peach,0,2,19,22,0,0,8,9,9,0,0,11,0,0,0,9,12,0,0,15,0,25,0,0,6,0,0,0,0
peanut,0,5,22,5,0,0,11,0,6,0,0,0,0,0,0,18,0,0,0,2,0,34,0,0,4,0,0,0,0
pear,0,1,6,0,1,9,11,2,1,2,0,1,0,1,2,1,2,0,0,0,1,0,0,2,5,0,1,4,1
pecan,0,5,5,0,7,133,34,6,14,29,196,7,17,22,9,18,10,31,7,0,55,6,0,12,1,0,9,3,41
pepper,0,34,24,0,0,0,119,0,161,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,23,0,0,0,0
pernod,0,16,6,21,0,0,5,0,18,0,0,0,0,0,2,15,0,0,0,19,0,0,0,0,0,0,0,0,0
persimmon,0,2,35,0,4,34,34,3,2,6,0,1,0,4,9,3,4,0,3,0,5,12,0,14,4,0,13,6,3
pescatarian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pickles,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0
picnic,0,4,2,13,0,8,0,0,6,4,1,14,14,10,6,30,19,30,65,50,31,0,62,18,0,240,0,0,20
pie,27,1,13,3,0,0,0,0,4,0,0,0,0,0,1,5,0,0,0,11,0,0,0,0,0,0,0,0,0
pineapple,0,3,29,0,0,0,15,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
pistachio,0,10,10,0,0,148,36,0,27,48,0,0,0,40,0,40,0,0,0,17,0,37,0,59,4,0,0,0,0
pittsburgh,0,0,26,0,0,0,13,26,20,0,0,45,0,0,5,25,41,0,0,0,83,0,0,0,0,355,0,0,0
pizza,0,3,10,7,0,0,5,0,12,0,0,0,0,0,2,21,0,0,0,18,0,75,0,0,0,0,0,0,0
plantain,0,1,23,0,0,22,12,9,5,17,0,5,0,6,17,5,3,41,1,9,5,8,0,27,36,0,34,24,3
plum,0,0,4,0,0,6,5,1,1,2,0,3,0,1,3,1,2,0,0,0,2,2,0,2,11,0,2,5,1
poach,0,4,0,137,49,0,0,13,9,3,0,0,0,15,3,25,31,16,57,6,5,20,34,4,0,12,7,0,11
poblano,46,7,12,0,0,0,20,0,21,0,0,0,0,0,17,11,0,0,0,34,0,0,0,0,0,0,0,0,0
pomegranate,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,7,0,0,0,0
poppy,0,5,9,5,1,4,1,1,1,2,0,0,0,4,1,2,4,28,2,41,2,6,4,1,0,0,16,42,2
pork,0,0,0,27,0,0,0,0,7,0,0,0,0,0,0,43,0,0,0,9,0,0,0,0,0,0,0,0,0
port,0,50,0,41,3,2,0,4,2,6,0,0,4,29,3,48,18,71,26,23,1,121,62,3,0,105,2,2,24
portland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
potato,0,3,5,25,10,2,5,6,4,3,0,6,0,6,5,8,11,14,11,10,9,7,12,5,1,2,10,7,4
potluck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
poultry,0,1,2,2,1,2,0,0,0,1,0,2,0,2,1,1,4,3,1,17,2,0,0,1,0,0,1,0,1
prosciutto,0,0,0,30,0,0,0,0,7,0,0,0,0,0,0,50,0,0,0,100,0,0,0,0,0,0,0,0,0
providence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
prune,0,2,24,0,0,0,12,0,16,0,0,16,9,6,18,4,0,0,0,1,3,222,0,0,5,0,0,0,0
pumpkin,0,2,3,0,0,0,11,0,9,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
punch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
purim,0,0,23,0,0,0,13,0,0,0,0,0,0,0,0,7,0,0,0,5,0,0,0,0,0,0,0,0,0
quail,0,1,0,29,12,66,0,2,24,5,0,49,0,22,5,50,23,19,39,9,18,8,15,36,3,1,5,4,28
quiche,0,14,7,31,0,0,2,0,5,0,0,0,0,0,0,20,0,0,0,17,0,65,0,0,8,0,0,0,0
quince,0,1,6,0,0,14,7,1,4,2,0,1,2,1,4,1,2,0,1,0,2,4,0,2,17,0,0,0,0
quinoa,0,3,25,0,0,0,21,0,16,0,0,0,0,0,0,20,0,0,0,27,0,0,0,0,0,0,0,0,0
rabbit,0,2,0,28,22,19,0,2,13,5,0,44,0,18,6,60,13,12,69,15,5,0,269,20,0,0,3,1,21
radicchio,0,2,1,0,0,84,11,15,2,3,0,0,0,4,3,4,0,0,0,2,0,0,0,0,7,0,0,142,8
radish,0,2,1,0,1,6,6,6,2,2,0,2,0,2,5,1,3,0,1,2,1,0,0,4,16,0,0,1,3
raisin,0,3,19,0,0,0,12,0,17,0,0,21,0,0,0,20,22,0,0,15,0,0,0,0,7,0,0,0,0
ramadan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ramekin,23,0,6,33,0,0,0,0,3,0,0,0,0,0,0,8,0,0,0,4,0,0,0,0,0,0,0,0,0
raspberry,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0
raw,0,3,5,0,2,5,6,4,1,3,0,2,0,2,4,2,3,0,0,0,5,4,0,5,30,0,1,0,1
rhubarb,0,6,6,0,1,2,6,1,1,3,0,2,0,1,5,2,2,0,2,0,1,0,0,1,6,0,2,22,1
rice,0,2,10,0,0,0,5,0,10,0,0,0,0,0,0,7,0,0,0,20,0,8,0,0,3,0,0,0,0
ricotta,0,19,2,13,3,2,0,2,2,4,0,1,0,14,4,19,20,26,20,4,3,13,23,4,0,1,1,0,9
roast,0,1,0,30,15,8,0,2,16,4,0,36,0,18,7,58,20,18,55,16,6,0,108,32,0,0,1,1,67
rosemary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rosé,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rub,50,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,513,0,0,0,0,0,0,0,0,0
rum,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rutabaga,0,3,3,0,0,0,11,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,27,0,0,0,0
rye,0,5,18,0,0,0,21,0,16,0,0,0,0,0,0,14,0,0,0,28,0,0,0,0,0,0,0,0,0
saffron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sake,0,0,2,0,0,1,0,0,1,1,0,0,0,0,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0
salad,0,5,10,0,0,0,9,0,5,0,0,0,0,0,0,5,0,0,0,8,0,39,0,0,44,0,0,0,0
salmon,0,1,1,15,0,0,2,0,3,0,0,0,0,0,0,30,0,0,0,14,0,15,0,0,1,0,0,0,0
salsa,0,0,3,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,36,0,119,0,0,24,0,0,0,0
sandwich,0,12,9,10,0,0,5,0,10,0,0,0,0,0,0,14,0,0,0,31,0,22,0,0,0,0,0,0,0
sangria,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,4,0,0,0,0
sardine,0,24,8,26,9,18,4,20,17,8,0,31,0,26,6,36,18,6,72,16,23,2,207,8,0,14,8,1,10
sauce,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,0,0,0,0,0,0
sausage,0,2,4,13,0,0,5,0,20,0,0,0,0,0,0,21,0,0,0,87,0,15,0,0,2,0,0,0,0
sauté,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
scallop,0,1,5,8,10,5,2,12,7,5,0,10,0,22,4,22,6,8,23,20,12,0,39,4,0,0,15,10,8
scotch,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
seafood,0,1,6,8,4,9,2,12,7,3,0,14,0,7,2,16,7,5,20,26,11,3,52,6,12,0,6,2,6
seattle,0,0,24,21,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,17,0,93,0,0,0,0,0,0,0
seed,0,5,12,0,0,119,17,12,3,12,6,33,16,10,19,11,13,3,0,1,24,26,0,18,7,0,0,0,8
self,0,27,27,0,0,14,25,94,26,12,0,29,0,50,4,17,30,1,0,59,57,0,0,23,0,0,0,0,9
semolina,0,0,28,0,0,0,8,0,19,0,0,0,0,0,2,22,0,0,0,1,0,0,0,0,0,0,0,0,0
sesame,0,1,3,0,1,0,4,0,3,0,0,0,0,3,3,6,0,30,3,43,0,0,0,0,0,0,33,47,1
shallot,0,3,6,0,2,10,11,8,7,5,13,1,6,5,7,5,2,0,2,1,5,0,0,20,9,0,0,1,4
shavuot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shellfish,0,5,2,47,16,23,1,7,3,6,0,14,0,22,3,31,3,6,61,15,6,7,43,10,0,0,16,5,10
sherry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shower,0,10,9,19,0,0,0,0,2,0,0,0,0,0,0,7,0,0,0,3,0,9,0,0,1,0,0,0,0
shrimp,0,5,0,37,0,0,0,0,2,0,0,0,0,0,0,24,0,0,0,21,0,0,0,0,0,0,0,0,0
side,0,2,2,0,0,0,6,14,4,0,0,1,0,0,5,2,3,0,0,1,4,317,0,0,17,0,0,0,0
simmer,0,1,0,145,0,33,0,103,38,5,8,26,66,19,3,53,82,8,173,2,8,1478,48,22,10,0,0,0,42
skewer,9,0,3,18667,0,0,32,0,0,0,0,0,0,0,4,31,0,0,0,33,0,0,0,0,0,0,0,0,0
smoker,200,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0
smoothie,0,6,2,1,3,9,10,12,2,7,0,5,0,6,7,6,11,7,2,2,5,8,11,9,9,2,7,71,5
snapper,0,2,0,13,0,0,0,0,0,0,0,0,0,0,9,41,0,0,0,3,0,0,0,0,0,2000,0,0,0
sorbet,0,0,10,0,1,1,2,1,1,0,0,1,0,0,1,2,1,0,0,1,0,0,0,1,6,0,0,0,0
sourdough,0,0,20,0,0,0,6,0,18,0,0,0,0,0,0,18,0,0,0,29,0,0,0,0,0,0,0,0,0
soy,0,13,19,0,20,273,12,60,29,40,0,19,0,1,0,53,27,6,22,37,28,0,0,30,0,0,7,10,14
spice,0,52,25,0,4,54,53,6,109,32,687,14,0,9,14,12,11,32,17,2,11,29,0,24,26,0,13,24,22
spinach,0,7,1,0,0,0,9,47,18,0,0,0,0,0,0,7,0,0,0,4,0,719,0,0,31,0,0,0,0
spirit,4,0,1,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,0,0
spring,0,2,25,0,6,46,44,11,20,30,177,36,19,27,7,31,8,2,129,0,42,1,0,20,0,0,7,2,25
spritzer,0,1,1,0,1,1,0,0,1,2,0,1,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1
squash,0,2,2,1,1,4,5,2,2,3,0,5,0,1,2,1,2,3,1,6,3,2,0,7,4,0,3,2,2
squid,0,6,1,9,0,0,0,0,7,0,0,0,0,0,0,29,0,0,0,28,0,20,0,0,0,0,0,0,0
steak,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
steam,0,6,1,17,15,402,0,2,32,5,0,7,0,10,4,14,8,3,45,5,2,2,392,2,0,0,7,1,452
stew,0,1,2,12,6,7,5,4,3,4,0,18,0,7,5,18,7,3,16,13,5,15,4,16,8,0,2,6,5
stock,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,39,0,0,1,0,0,0,0
strawberry,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
sukkot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
summer,0,5,2,34,12,5,2,7,4,4,0,3,0,8,5,9,13,20,14,10,7,13,11,5,7,4,2,2,5
swordfish,0,1,3,26,13,7,1,7,5,8,0,55,0,23,10,44,8,14,113,15,14,6,68,32,0,73,19,3,7
taco,0,7,5,6,0,17,11,14,10,6,11,9,4,8,5,13,8,15,13,16,12,7,17,6,0,0,4,9,11
tailgating,142,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
tamarind,0,6,23,0,2,10,18,4,16,22,0,12,0,9,13,6,12,1,2,1,36,0,0,4,4,0,1,2,1
tangerine,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
tapioca,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tarragon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tart,0,1,26,0,2,7,6,29,24,3,0,39,0,6,2,8,38,15,6,14,43,22,0,29,0,0,5,16,3
tea,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tequila,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thanksgiving,0,0,2,19,0,0,0,0,7,0,0,0,0,0,0,43,0,0,0,45,0,0,0,0,7,0,0,0,0
thyme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tilapia,0,1,1,15,0,0,0,0,4,0,0,0,0,0,0,38,0,0,0,19,0,0,0,0,1,0,0,0,0
tofu,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tomatillo,0,1,2,0,1,9,7,2,3,5,7,12,3,3,6,2,3,1,1,0,4,13,0,3,13,0,3,8,2
tomato,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tortillas,0,11,14,0,0,0,13,0,7,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
trout,0,3,4,17,10,7,2,11,6,6,0,33,0,16,7,34,11,13,38,17,19,6,124,14,2,60,27,10,4
tuna,0,3,4,2,0,0,3,0,4,0,0,0,0,0,0,11,0,0,0,19,0,42,0,0,6,0,0,0,0
turnip,0,9,1,0,0,6,9,10,9,4,10,2,2,2,2,5,7,0,2,1,4,679,0,4,29,0,0,0,1
vanilla,0,9,8,31,5,1,0,2,2,3,0,1,0,8,3,7,13,42,6,3,3,20,16,3,0,2,3,1,4
veal,0,1,2,18,16,14,2,6,6,6,0,33,0,11,4,36,21,16,33,6,8,5,67,24,2,2,4,14,11
vegetable,0,2,2,0,2,8,5,10,5,5,0,5,5,2,4,5,5,0,1,1,5,674,0,6,6,0,3,20,2
venison,0,1,0,30,14,11,0,1,14,5,0,45,0,15,6,40,22,48,19,36,34,1,73,22,0,2,3,1,34
vermouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0
vinegar,0,1,0,0,0,1,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vodka,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
waffle,0,0,22,10,0,0,2,0,0,0,0,0,0,0,0,9,0,0,0,15,0,0,0,0,0,0,0,0,0
walnut,0,16,14,6,0,0,25,0,21,0,0,0,0,0,0,21,0,0,0,2,0,0,0,0,0,0,0,0,0
wasabi,0,3,17,0,0,6,22,2,3,5,6,1,0,2,4,4,5,10,4,147,4,0,0,3,0,0,26,3,6
watercress,0,10,0,1,2,9,2,2,1,5,0,1,0,5,7,5,9,3,2,8,7,19,0,9,35,0,10,219,1
watermelon,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
weelicious,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
westwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
whiskey,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
windsor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wine,0,1,1,0,1,1,0,0,1,2,0,1,0,1,1,0,1,0,0,0,0,0,0,2,0,0,0,0,1
winter,0,3,4,24,10,7,8,7,4,3,0,3,0,5,5,7,11,4,12,7,4,25,7,8,8,2,2,3,4
wok,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,117,59,0
yogurt,0,10,2,5,0,0,0,0,0,3,0,0,0,0,3,7,12,0,0,2,0,236,15,0,0,0,0,0,6
yonkers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yuca,0,1,11,0,0,0,12,0,7,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0
zucchini,0,2,2,0,0,0,4,0,2,0,0,0,0,0,5,2,0,0,0,0,0,0,0,0,14,0,0,0,0
cookbooks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leftovers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snack,0,10,17,6,0,0,9,0,22,0,0,0,0,0,0,10,0,0,0,8,0,56,0,0,0,0,0,0,0
turkey,0,3,2,11,0,0,5,0,6,0,0,0,0,0,0,20,0,0,0,23,0,59,0,0,0,0,0,0,0
